title,type,listed_in,release_year,similarity
Leila,TV Show,"British TV Shows, International TV Shows, TV Dramas",2019,0.5883690062950775
Downton Abbey,TV Show,"British TV Shows, International TV Shows, TV Dramas",2015,0.5513772824980949
The A List,TV Show,"British TV Shows, International TV Shows, TV Dramas",2021,0.5464779472446014
Dracula,TV Show,"British TV Shows, International TV Shows, TV Dramas",2020,0.5277933926773448
Call the Midwife,TV Show,"British TV Shows, International TV Shows, TV Dramas",2020,0.5267834520877697
Behind Her Eyes,TV Show,"British TV Shows, International TV Shows, TV Dramas",2021,0.5254871779007959
Requiem,TV Show,"British TV Shows, International TV Shows, TV Dramas",2018,0.5233021614523835
Traitors,TV Show,"British TV Shows, International TV Shows, TV Dramas",2019,0.5216514216087742
Land Girls,TV Show,"British TV Shows, International TV Shows, TV Dramas",2011,0.5182396069933096
Fate: The Winx Saga,TV Show,"British TV Shows, International TV Shows, TV Dramas",2021,0.5093557155621633
